date,Day Type,Holiday,Moon Calendar,School Events,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Season,no_of_passengers,no_of_adults,no_of_children,total_fare_collected,no_of_full_fare_tickets,no_of_C/P_tickets,no_of_buses,no_of_trips,no_of_MHL_passengers,no_of_city_ordinary_bus,no_of_metro_express_bus,no_of_pallevelug_bus,no_of_other_bus,no_of_metro_delux_bus,no_of_express_bus
2024-07-06,5,0,0,2,50.8120235784157,29.4350350557041,23.5674778223,2,33897,33388,509,216060,8492,25405,36,342,9808,29,7,0,0,0,0
2024-07-07,6,1,1,2,119.80788863998,27.9102031235602,23.4811286948602,2,36697,36264,433,273585,10196,26501,43,377,10250,32,11,0,0,0,0
2024-07-08,0,0,2,0,87.4594687114628,27.2723105273711,23.5075033054137,2,41084,40235,849,296420,11554,29530,45,388,11803,37,8,0,0,0,0
2024-07-09,1,0,3,0,149.060671440025,27.4223665888688,23.1115742328471,2,38099,37808,291,243850,9625,28474,47,394,11850,33,14,0,0,0,0
2024-07-10,2,0,4,0,29.9570637065761,29.45732326139,22.8647793884592,2,38855,38585,270,245615,9614,29241,45,389,11404,33,12,0,0,0,0
2024-07-11,3,0,5,0,16.9550453320511,30.1914668624458,24.659094245486,2,36457,35177,1280,235815,9161,27296,45,386,11345,33,12,0,0,0,0
2024-07-12,4,0,6,0,38.2733604416833,30.1544779767618,24.3741763163254,2,36865,36623,242,223065,8824,28041,41,375,11286,32,9,0,0,0,0
2024-07-13,5,0,7,2,98.8598636179681,27.9420711388972,23.5344773581541,2,39384,38655,729,262250,10058,29326,47,388,12062,36,11,0,0,0,0
2024-07-14,6,0,8,2,273.118528371774,25.3645560381035,23.382613249357,2,34880,34237,643,269320,9819,25061,48,424,9676,34,14,0,0,0,0
2024-07-15,0,0,9,0,241.682277547934,26.6642562373207,23.3475137839195,2,43761,42914,847,304270,11413,32348,52,444,12580,36,17,0,0,0,0
2024-07-16,1,1,10,0,170.185798059358,27.6925572760478,23.3595973426365,2,35130,34840,290,222010,8875,26255,44,362,11272,34,10,0,0,0,0
2024-07-17,2,2,11,2,222.508645158368,27.8377467992941,23.1878949538466,2,35404,35069,335,214560,8502,26902,42,360,10331,33,9,0,0,0,0
2024-07-18,3,0,12,0,234.691771730323,26.630881388786,23.3826860855799,2,35870,35304,566,230240,8959,26911,43,368,11183,34,9,0,1,0,0
2024-07-19,4,0,13,0,511.606345965285,25.5201556144667,22.9465212377159,2,35049,34754,295,214490,8401,26647,41,353,11738,32,9,0,0,0,0
2024-07-20,5,0,14,2,488.60933937212,24.4009692505827,22.837935301765,2,34219,33687,532,218305,8714,25505,45,378,10646,37,8,0,1,0,0
2024-07-21,6,0,15,2,259.677151972696,25.8601995953493,22.9636304713403,2,31883,31510,373,216990,8219,23664,48,410,9033,34,14,0,0,0,0
2024-07-22,0,0,16,0,121.820912491981,27.9162373165452,23.0581723815723,2,34449,33852,597,245400,9507,24942,49,396,9974,34,15,0,0,0,0
2024-07-23,1,0,17,0,219.509134199812,26.9980149362897,23.0977364222125,2,37531,37234,297,232620,9113,28418,43,355,11845,33,10,0,0,0,0
2024-07-24,2,0,18,0,228.686474354361,24.8299278236703,22.9868726757321,2,39756,39467,289,240500,9343,30413,46,399,11862,35,11,0,1,0,0
